中央政府總預算案,,,,,,,,,
歲出機關別預算表,,,,,,,,,
經資門併計,,,,,中華民國106年度,,,單位：新臺幣千元,
,,,,"3523320000
司法支出","138,269 ","138,701 ",-432 ,,
,,1,,"3523320100
一般行政","128,850 ","130,625 ","-1,775 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費123,841千元，較上年度核實
   減列人事費1,669千元。
2.基本行政工作維持費5,009千元，較上年
   度減列水電費等106千元。",
,,2,,"3523321000
檢察業務","9,310 ","7,955 ","1,355 ","本年度預算數9,310千元，係辦理刑事案件
偵查及執行等業務經費，較上年度增列辦理
辦公室耐震補強等經費1,355千元。",
,,3,,"3523329800
第一預備金",109 ,121 ,-12 ,本年度預算數較上年度減列如列數。,
,11,,,"0023330000
臺灣高等法院高雄分院檢察署","170,523 ","163,313 ","7,210 ",,
,,,,"3523330000
司法支出","170,523 ","163,313 ","7,210 ",,
,,1,,"3523330100
一般行政","167,022 ","159,733 ","7,289 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費159,498千元，較上年度增列
   員工薪俸晉級差額等經費7,279千元。
2.基本行政工作維持費7,524千元，較上年
   度增列車輛保險費等10千元。",
,,2,,"3523331000
檢察業務","3,377 ","3,442 ",-65 ,"本年度預算數3,377千元，係辦理刑事案件
偵查及執行等業務經費，較上年度減列國內
旅費等65千元。",
,,3,,"3523339800
第一預備金",124 ,138 ,-14 ,本年度預算數較上年度減列如列數。,
,12,,,"0023340000
臺灣高等法院花蓮分院檢察署","55,826 ","54,045 ","1,781 ",,
,,,,"3523340000
司法支出","55,826 ","54,045 ","1,781 ",,
,,1,,"3523340100
一般行政","54,380 ","52,676 ","1,704 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費51,116千元，較上年度增列員
   工薪俸晉級差額等經費1,862千元。
2.基本行政工作維持費3,264千元，較上年
   度減列文件印刷等經費158千元。",
,,2,,"3523341000
檢察業務","1,400 ","1,318 ",82 ,"本年度預算數1,400千元，係辦理刑事案件
偵查及執行等業務經費，較上年度增列替代
役役男勤務管理等經費82千元。",
,,3,,"3523349800
第一預備金",46 ,51 ,-5 ,本年度預算數較上年度減列如列數。,
,13,,,"0023350000
臺灣高等法院檢察署智慧財產分署","19,789 ","17,721 ","2,068 ",,
,,,,"3523350000
司法支出","19,789 ","17,721 ","2,068 ",,
,,1,,"3523350100
一般行政","18,875 ","16,802 ","2,073 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費17,146千元，較上年度增列員
   工薪俸晉級差額等經費2,122千元。
2.基本行政工作維持費1,729千元，較上年
   度減列通訊費等49千元。",
,,2,,"3523351000
檢察業務",867 ,867 ,0 ,"本年度預算數867千元，係辦理刑事案件偵
查及執行等業務經費，與上年度同。",
,,3,,"3523359800
第一預備金",47 ,52 ,-5 ,本年度預算數較上年度減列如列數。,
,14,,,"0023410000
臺灣臺北地方法院檢察署","1,054,084 ","1,017,507 ","36,577 ","本科目上年度法定預算數1,020,939千元，
移出「一般行政」科目及「檢察業務」科目
3,432千元，列入臺灣新北地方法院檢察署
「一般行政」科目及「檢察業務」科目1,66
6千元、臺灣橋頭地方法院檢察署「一般行
政」科目及「檢察業務」科目1,766千元，
淨計如表列上年度預算數。",
,,,,"3523410000
司法支出","1,050,401 ","1,017,507 ","32,894 ",,
,,1,,"3523410100
一般行政　　　　　　　　　　　　　　　　　　　　　　　　　","901,794 ","880,859 ","20,935 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費841,074千元，較上年度增列
   員工薪俸晉級差額等經費20,092千元。
2.基本行政工作維持費60,720千元，較上年
   度增列司法新廈頂樓防水工程等經費843
   千元。",
,,2,,"3523411000
檢察業務","104,798 ","80,856 ","23,942 ","本年度預算數之內容與上年度之比較如下：
1.辦理刑事案件偵查及執行等業務經費100,
   132千元，較上年度增列辦理辦公室耐震
   補強等工程經費23,942千元。
2.督導鄉鎮市調解及辦理觀護業務經費4,66
   6千元，與上年度同。",
,,3,,"3523418500
檢察機關擴(遷)建計畫","43,110 ","54,235 ","-11,125 ","本年度預算數之內容與上年度之比較如下：
1.臺灣臺北地方法院檢察署採購大樓辦公廳
   舍及舊有辦公室整修工程計畫總經費92,7
   02千元，分2年辦理，105年度編列53,062
   千元，本年度續編最後1年經費39,640千
   元，較上年度減列13,422千元。
2.臺灣高等法院檢察署暨智慧財產分署、臺
   灣臺北地方法院檢察署博一大樓辦公廳舍
   及舊有辦公室整修工程計畫總經費(屬臺
   灣臺北地方法院檢察署應分攤部分)151,9
   20千元，分年辦理，105年度已編列1,173
   千元，本年度續編第2年經費3,470千元，
   較上年度增列2,297千元。",
,,4,,"3523419000
一般建築及設備",0 ,780 ,-780 ,,
,,,1,"3523419011
交通及運輸設備",0 ,780 ,-780 ,"上年度汰換偵防車1輛預算業已編竣，所列7
80千元如數減列。",
,,5,,"3523419800
第一預備金",699 ,777 ,-78 ,本年度預算數較上年度減列如列數。,
,,,,"5223410000
科學支出","3,683 ",0 ,"3,683 ",,
,,6,,"5223411000
司法科技業務","3,683 ",0 ,"3,683 ","新增運用科技方法提升檢察機關偵查及行政
管理效能計畫經費如列數。",
,15,,,"0023420000
臺灣士林地方法院檢察署","667,146 ","723,300 ","-56,154 ",,
,,,,"3523420000
司法支出","667,146 ","723,300 ","-56,154 ",,
,,1,,"3523420100
一般行政","397,851 ","397,115 ",736 ,"本年度預算數之內容與上年度之比較如下:
1.人員維持費372,117千元，較上年度增列
   員工薪俸晉級差額等經費518千元。
2.基本行政工作維持費25,734千元，較上年
   度增列辦公廳舍養護等經費218千元。",
,,2,,"3523421000
檢察業務","44,470 ","44,514 ",-44 ,"本年度預算數之內容與上年度之比較如下：
1.辦理刑事案件偵查及執行等業務經費42,0
   00千元，較上年度減列相驗解剖及檢驗鑑
   定等經費44千元。
2.督導鄉鎮市調解及辦理觀護業務經費2,47
   0千元，與上年度同。",
,,3,,"3523428500
檢察機關擴(遷)建計畫","224,533 ","281,346 ","-56,813 ","本年度預算數之內容與上年度之比較如下：
1.臺灣士林地方法院檢察署擴建辦公廳舍暨
   第一、二辦公大樓整修工程中程計畫總經
   費698,245千元，分年辦理，以前年度已
   編列490,966千元，本年度續編174,662千
   元，較上年度減列106,684千元。
2.新增臺灣士林地方法院檢察署新建辦公廳
   舍裝修、購置設備及搬遷等經費49,871千
   元。",
,,4,,"3523429800
第一預備金",292 ,325 ,-33 ,本年度預算數較上年度減列如列數。,
,16,,,"0023430000
臺灣新北地方法院檢察署","791,096 ","790,241 ",855 ,"本科目上年度法定預算數788,575千元，連
同由臺灣臺北地方法院檢察署「一般行政」
科目移入1,656千元及「檢察業務」科目移
入10千元，共計如表列上年度預算數。",
,,,,"3523430000
司法支出","791,096 ","789,291 ","1,805 ",,
,,1,,"3523430100
一般行政","690,012 ","686,330 ","3,682 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費645,702千元，較上年度增列
   員工薪俸晉級差額等經費3,999千元。
2.基本行政工作維持費44,310千元，較上年
   度減列通訊費等317千元。",
,,2,,"3523431000
檢察業務","100,586 ","101,128 ",-542 ,"本年度預算數之內容與上年度之比較如下：
1.辦理刑事案件偵查及執行等業務經費98,5
   04千元，較上年度減列提撥緩起訴處分金
   及認罪協商金補助公益團體等經費542千
   元。
2.督導鄉鎮市調解及辦理觀護業務經費2,08
   2千元，與上年度同。",
,,3,,"3523439000
一般建築及設備",0 ,"1,280 ","-1,280 ",,
,,,1,"3523439011
交通及運輸設備",0 ,"1,280 ","-1,280 ","上年度汰換勘驗車2輛預算業已編竣，所列1
,280千元如數減列。",
,,4,,"3523439800
第一預備金",498 ,553 ,-55 ,本年度預算數較上年度減列如列數。,
,,,,"5223430000
科學支出",0 ,950 ,-950 ,,
,,5,,"5223431000
司法科技業務",0 ,950 ,-950 ,"上年度運用科技方法提升檢察機關服務及管
理效能先期計畫預算業已編竣，所列950千
元如數減列。",
,17,,,"0023470000
臺灣桃園地方法院檢察署","742,527 ","722,266 ","20,261 ",,
,,,,"3523470000
司法支出","742,527 ","722,266 ","20,261 ",,
,,1,,"3523470100
一般行政","552,683 ","535,140 ","17,543 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費511,845千元，較上年度增列
   員工薪俸晉級差額等經費12,060千元。
2.基本行政工作維持費40,838千元，較上年
   度增列水電費等5,483千元。",
,,2,,"3523471000
檢察業務","88,562 ","82,627 ","5,935 ","本年度預算數之內容與上年度之比較如下：
1.辦理刑事案件偵查及執行等業務經費84,4
   07千元，較上年度增列提撥緩起訴處分金
   及認罪協商金補助公益團體等經費5,935
   千元。
2.督導鄉鎮市調解及辦理觀護業務經費4,15
   5千元，與上年度同。",
,,3,,"3523478500
檢察機關擴(遷)建計畫","100,493 ","103,622 ","-3,129 ","本年度預算數100,493千元，係臺灣桃園地
方法院檢察署遷建辦公廳舍裝修、購置設備
及搬遷等經費，較上年度減列3,129千元。",
,,4,,"3523479800
第一預備金",789 ,877 ,-88 ,本年度預算數較上年度減列如列數。,
,18,,,"0023480000
臺灣新竹地方法院檢察署","323,814 ","318,365 ","5,449 ",,
,,,,"3523480000
司法支出","323,814 ","318,365 ","5,449 ",,
,,1,,"3523480100
一般行政　　　　　　　　　　　　　　　　　　　　　　　　　","267,206 ","261,936 ","5,270 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費245,010千元，較上年度增列
   員工薪俸晉級差額等經費5,499千元。
2.基本行政工作維持費22,196千元，較上年
   度減列通訊費等229千元。",
,,2,,"3523481000
檢察業務","56,406 ","56,204 ",202 ,"本年度預算數之內容與上年度之比較如下：
1.辦理刑事案件偵查及執行等業務經費52,8
   76千元，較上年度減列辦理相驗解剖及檢
   驗鑑定等經費1,398千元。
2.督導鄉鎮市調解及辦理觀護業務經費3,53
   0千元，較上年度增列辦理緩刑社區處遇
   業務等經費1,600千元。",
,,3,,"3523489800
第一預備金",202 ,225 ,-23 ,本年度預算數較上年度減列如列數。,
,19,,,"0023490000
臺灣苗栗地方法院檢察署","206,330 ","209,859 ","-3,529 ",,
,,,,"3523490000
司法支出","206,330 ","209,859 ","-3,529 ",,
,,1,,"3523490100
一般行政","173,636 ","175,975 ","-2,339 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費163,618千元，較上年度核實
   減列人事費2,693千元。
2.基本行政工作維持費10,018千元，較上年
   度增列購置文具紙張等經費354千元。",
,,2,,"3523491000
檢察業務","32,553 ","33,727 ","-1,174 ","本年度預算數之內容與上年度之比較如下：
1.辦理刑事案件偵查及執行等業務經費30,7
   94千元，較上年度減列提撥緩起訴處分金
   及認罪協商金補助公益團體等經費1,177
   千元。
2.督導鄉鎮市調解及辦理觀護業務經費1,75
   9千元，較上年度增列辦理犯罪被害人保
   護業務經費3千元。",
,,3,,"3523499800
第一預備金",141 ,157 ,-16 ,本年度預算數較上年度減列如列數。,
,20,,,"0023500000
臺灣臺中地方法院檢察署","930,275 ","925,236 ","5,039 ","本科目上年度法定預算數926,972千元，移
出「一般行政」科目及「檢察業務」科目1,
736千元，列入臺灣高等法院檢察署「一般
行政」科目及「檢察業務」科目853千元、
臺灣橋頭地方法院檢察署「一般行政」科目
及「檢察業務」科目883千元，淨計如表列
上年度預算數。",
,,,,"3523500000
司法支出","930,275 ","921,406 ","8,869 ",,
,,1,,"3523500100
一般行政　　　　　　　　　","735,651 ","737,275 ","-1,624 ","本年度預算數之內容與上年度之比較如下:
1.人員維持費713,731千元，較上年度增列
   員工薪俸晉級差額等經費242千元。
2.基本行政工作維持費21,920千元，較上年
   度減列設施及機械設備養護費等1,866千
   元。",
,,2,,"3523501000
檢察業務","194,086 ","177,813 ","16,273 ","本年度預算數之內容與上年度之比較如下:
1.辦理刑事案件偵查及執行等業務經費190,
   494千元，較上年度增列提撥緩起訴處分
   金及認罪協商金補助公益團體等經費16,2
   73千元。
2.督導鄉鎮市調解及辦理觀護業務經費3,59
   2千元，與上年度同。",
