,,,,,,,,
科　　　　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","本年度與
上年度比較",說　　　　　　　　明
,,,01,"　　　70101000101
　　　行政管理","275,473","288,149","-12,676","本年度預算數之內容與上年度之比較如下：
1.人員維持費259,249千元，較上年度減列移編登革熱研究中心人員等人事費10,712千元。
2.基本行政工作維持費16,224千元，較上年度減列退休人員及遺族三節慰問金等經費1,964千元。
　"
,,02,,"　　70101000200
　　衛生業務","1,212,758","731,757","481,001",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　70101000201
　　　醫政業務","900,694","499,202","401,492","本年度預算數較上年度增列401,492千元，包括：
1.市立醫院管理778,026千元，較上年度增列高雄市立小港醫院擴建工程土地購置費用等經費407,977千元。
2.衛生所管理業務360千元，較上年度增列衛生所推動公共衛生等經費213千元。
3.一般業務1,930千元，較上年度減列六年一次醫事人員執照更新等相關經費68千元。
4.老人裝置假牙計畫112,265千元，較上年度減列1,826千元。
5.緊急醫療救護業務1,181千元，較上年度減列急救訓練材料等經費65千元。
6.原住民醫療保健業務6,932千元，較上年度減列原民區衛生所醫療設備等經費4,739千元。
　"
,,,02,"　　　70101000202
　　　藥政業務","2,497","2,459",38,"本年度預算數2,497千元，較上年度增列按日按件計資酬金等經費38千元。
　"
,,,03,"　　　70101000203
　　　食品衛生業務","3,144","12,330","-9,186","本年度預算數較上年度減列9,186千元，包括：
1.一般業務3,144千元，較上年度增列提撥食品安全保護基金227千元。
2.上年度食品衛生管理提升計畫預算業已編竣，所列9,413千元如數減列。
　"
,,,04,"　　　70101000204
　　　健康管理業務","149,564","75,657","73,907","本年度預算數較上年度增列73,907千元，包括：
1.綜合保健計畫76,071千元，較上年度增列臨時人員酬金及補助優生保健相關檢查費等經費16,700千元。
2.癌症防治計畫21,052千元，較上年度增列臨時人員酬金及一般事務費等經費17,376千元。
3.健康促進計畫12,097千元，較上年度增列臨時人員酬金及一般事務費等經費11,125千元。
4.菸害防制計畫40,014千元，較上年度增列臨時人員酬金及一般事務費等經費34,706千元。
5.營養及職業衛生管理330千元，較上年度減列工業區流行病學調查及檢查計畫6,000千元。
　"
,,,05,"　　　70101000205
　　　長期照護業務","81,624","61,700","19,924","本年度預算數81,624千元，較上年度增列長照十年計畫2.0經費19,924千元。
　"
　,　,　,　,　,　,　,　,　
,,,06,"　　　70101000206
　　　檢驗業務","10,412","22,767","-12,355","本年度預算數較上年度減列12,355千元，包括：
1.一般業務10,412千元，較上年度減列建構本市食品安全工作計畫經費4,630千元。
2.上年度辦理強化食品藥物化妝品安全實驗網絡及地方檢驗量能計畫預算業已編竣，所列7,725千元如數減列。
　"
,,,07,"　　　70101000207
　　　社區心衛中心業務","61,777","54,356","7,421","本年度預算數較上年度增列7,421千元，包括：
1.強化藥癮者輔導處遇計畫24,073千元，較上年度增列臨時人員酬金等經費8,758千元。
2.一般業務19,824千元，較上年度減列安置補助小康家民傷患醫療暨看護等費用1,337千元。
　"
,,,08,"　　　70101000208
　　　企劃業務","3,046","3,286",-240,"本年度預算數3,046千元，較上年度減列登革熱防治疫情整合系統等經費240千元。
　"
,,03,,"　　70101000300
　　防疫業務","153,520","130,117","23,403",
,,,01,"　　　70101000301
　　　防疫工作","153,520","130,117","23,403","本年度預算數較上年度增列23,403千元，包括：
1.各項預防接種及傳染病防治業務85,739千元，較上年度增列購買疫苗等經費5,013千元。
2.急性傳染病防治業務7,068千元，較上年度增列長照機構感染管制查核委員出席費及交通費等經費432千元。
3.慢性傳染病防治業務16,614千元，較上年度增列補助結核病個案接觸者就醫掛號費及檢體運費等經費708千元。
4.蟲媒傳染病防治業務44,099千元，較上年度增列傳染病防治衛教宣導暨登革熱防治社區防疫等經費17,250千元。
　"
,,04,,"　　70101000400
　　衛生所業務","578,473","574,815","3,658",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　70101000401
　　　各區衛生所業務","578,473","574,815","3,658","本年度預算數較上年度增列3,658千元，包括：
1.辦理衛生所建築物耐震補強或拆除工程計畫經費16,484千元，較上年度增列8,982千元。
2.購置個人電腦等設備費1,359千元，較上年度增列455千元。
3.人員維持費516,003千元，較上年度減列移編登革熱研究中心人員人事費3,105千元。
4.衛生所業務相關經費25,827千元，較上年度減列退休人員三節慰問金及車輛相關經費1,474千元。
5.六龜區衛生所新建工程計畫18,800千元，較上年度減列1,200千元。
　"
,,05,,"　　70101000500
　　登革熱研究業務","30,374",-,"30,374",
,,,01,"　　　70101000501
　　　研究工作","30,374",-,"30,374","本年度編列項目如下:
一、人員維持費11,634千元。
二、基本行政工作維持費11,000千元。
三、設備及投資7,740千元，編列項目如下：
1.資訊軟硬體設備160千元。
2.實驗室整修經費4,000千元。
3.醫療檢驗儀、藥效測試儀、高倍可投影式顯微鏡等設備3,580千元。
　"
,,06,,"　　70101007900
　　第一預備金",400,400,-,
,,,01,"　　　70101007901
　　　第一預備金",400,400,-,"仍照上年度預算數編列。
　"
11,,,,"00110000000
高雄市政府環境保護局主管","4,612,832","4,482,160","130,672",
,001,,,"　00111100000
　高雄市政府環境保護局","3,855,919","3,757,438","98,481",
,,01,,"　　73111100100
　　一般行政","2,459,364","2,472,031","-12,667",
,,,01,"　　　73111100101
　　　行政管理","2,298,517","2,308,618","-10,101","本年度預算數之內容與上年度之比較如下： 
1.人員維持費2,276,208千元，較上年度核實減列約僱人員人事費9,174千元。
2.基本行政工作維持費22,309千元，較上年度減列三節慰問金及業務助理等經費927千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,02,"　　　73111100102
　　　業務管理","18,712","19,811","-1,099","本年度預算數較上年度減列1,099千元，包括：
1.一般業務17,999千元，較上年度減列購買資訊軟硬體設備等經費1,076千元。
2.政風業務115千元，較上年度減列購買數位攝影機23千元。
　"
,,,03,"　　　73111100103
　　　車輛管理及維護","142,135","143,602","-1,467","本年度預算數142,135千元，較上年度減列油脂及車輛維護等經費1,467千元。
　"
,,02,,"　　73111100200
　　空氣污染防制及噪音振
　　動管制","7,772",272,"7,500",
,,,01,"　　　73111100201
　　　空氣污染防制及噪音
　　　振動管制","7,772",272,"7,500","本年度預算數7,772千元，較上年度新增辦理「2017生態交通全球盛典」補助汰換四行程機車等經費7,500千元。
　"
,,03,,"　　73111100300
　　土壤及水污染管理防治","58,136","23,554","34,582",
,,,01,"　　　73111100301
　　　土壤及水污染管理防
　　　治","58,136","23,554","34,582","本年度預算數較上年度增列34,582千元，包括：
1.土壤及地下水污染防治31,284千元，較上年度新增辦理土壤及地下水污染調查及查證工作計畫等經費23,570千元。
2.水體環境水質改善及經營管理計畫7,893千元，較上年度新增阿公店溪暨後勁溪污染總量管制計畫等經費1,822千元。
3.水污染防治13,890千元，較上年度增列河川水質監測委辦費及補助水污基金等經費7,190千元。
4.飲用水管理3,143千元，較上年度增列飲用水稽查採樣水質檢測委辦費1,650千元。
5.毒性化學物質管理558千元，較上年度增列印製法規、報告等經費250千元。
6.環境用藥管理160千元，較上年度增列印製宣導文件等經費100千元。
　"
,,04,,"　　73111100400
　　垃圾集運與清潔維護","873,619","796,150","77,469",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　73111100401
　　　垃圾集運管理","873,619","796,150","77,469","本年度預算數較上年度增列77,469千元，包括：
1.垃圾集運657,505千元，較上年度增列清潔獎金等經費74,415千元。
2.補助汰換老舊車輛計畫70,511千元，較上年度增列22,252千元。
3.環境消毒及病媒防治46,984千元，較上年度增列委託病媒防治噴藥服務及購買環境消毒藥劑等經費11,345千元。
4.一般廢棄物回收60,852千元，較上年度減列資源回收工作獎金、補助環境保護基金及回收獎勵等經費29,278千元。
5.資源回收工作計畫28,000千元，較上年度減列租用車輛、臨時人員及區里推動資源回收績效評比工作等經費810元。
6.公廁管理及整修269千元，較上年度減列辦理本市公廁宣導、考評及頒獎等一般事務費455千元。
　"
,,05,,"　　73111100500
　　都市廢棄物處理","403,806","359,579","44,227",
,,,01,"　　　73111100501
　　　都市廢棄物處理","403,806","359,579","44,227","本年度預算數403,806千元，較上年度增列底渣再利用計畫及廢棄物掩埋場回饋金等經費44,227千元。
　"
,,06,,"　　73111100600
　　勞工安全衛生","5,220","5,220",-,
,,,01,"　　　73111100601
　　　勞工安全衛生","5,220","5,220",-,"本年度預算數5,220千元，係辦理勞工安全業務，與上年度同。
　"
